monitor,score,auc,audit_pass,temporal_passed,forbidden_passed,matched_delta,oracle_proximity_shift,output_classes
Existing locked early score,existing_valid_early_warning_score,0.6145186658761619,False,True,True,0.00941537639208174,False,oracle_label_leakage_sentinel
MLP early-window model,mlp_early_score,0.8554699175359769,True,True,True,0.07246846428914032,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
Gradient-boosted early-window model,gb_early_score,0.990556407580353,True,True,True,0.0940746646738745,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
Linear sequential-feature model,linear_sequence_score,0.9669449766196774,True,True,True,0.09427250652228703,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
Linear probe on MLP hidden activation,mlp_hidden_probe_score,0.8631544734568415,True,True,True,0.07731132687454022,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
MLP future-window contaminated model,mlp_future_leak_score,0.8430913310696151,False,False,False,0.07489162911902157,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal
Gradient-boosted future-window contaminated model,gb_future_leak_score,0.9888622937378627,False,False,False,0.09081986720489608,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal
MLP low-dose oracle mixture,mlp_oracle_mix_score,0.9902436355380904,False,False,False,0.09589086261825507,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
Hidden-activation probe with oracle contamination,mlp_hidden_oracle_probe_score,0.9851837515332363,False,False,False,0.09589086261825507,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
